2018-01-18 12:02:18,753 DEBUG ['block1_conv2', False]
2018-01-18 12:02:18,753 DEBUG ['block1_pool', False]
2018-01-18 12:02:18,753 DEBUG ['block2_conv1', False]
2018-01-18 12:02:18,753 DEBUG ['block2_conv2', False]
2018-01-18 12:02:18,754 DEBUG ['block2_pool', False]
2018-01-18 12:02:18,754 DEBUG ['block3_conv1', False]
2018-01-18 12:02:18,754 DEBUG ['block3_conv2', False]
2018-01-18 12:02:18,754 DEBUG ['block3_conv3', False]
2018-01-18 12:02:18,754 DEBUG ['block3_pool', False]
2018-01-18 12:02:18,754 DEBUG ['block4_conv1', False]
2018-01-18 12:02:18,754 DEBUG ['block4_conv2', False]
2018-01-18 12:02:18,754 DEBUG ['block4_conv3', False]
2018-01-18 12:02:18,755 DEBUG ['block4_pool', False]
2018-01-18 12:02:18,755 DEBUG ['block5_conv1', False]
2018-01-18 12:02:18,755 DEBUG ['block5_conv2', False]
2018-01-18 12:02:18,755 DEBUG ['block5_conv3', False]
2018-01-18 12:02:18,755 DEBUG ['block5_pool', False]
2018-01-18 12:02:18,755 DEBUG ['flatten', False]
2018-01-18 12:02:18,755 DEBUG ['fc1', False]
2018-01-18 12:02:18,756 DEBUG ['fc2', False]
2018-01-18 12:02:18,756 DEBUG ['predictions', True]
2018-01-18 12:02:55,744 INFO Start
2018-01-18 12:03:10,392 DEBUG ['input_1', False]
2018-01-18 12:03:10,392 DEBUG ['block1_conv1', False]
2018-01-18 12:03:10,392 DEBUG ['block1_conv2', False]
2018-01-18 12:03:10,393 DEBUG ['block1_pool', False]
2018-01-18 12:03:10,393 DEBUG ['block2_conv1', False]
2018-01-18 12:03:10,393 DEBUG ['block2_conv2', False]
2018-01-18 12:03:10,393 DEBUG ['block2_pool', False]
2018-01-18 12:03:10,393 DEBUG ['block3_conv1', False]
2018-01-18 12:03:10,393 DEBUG ['block3_conv2', False]
2018-01-18 12:03:10,393 DEBUG ['block3_conv3', False]
2018-01-18 12:03:10,393 DEBUG ['block3_pool', False]
2018-01-18 12:03:10,393 DEBUG ['block4_conv1', False]
2018-01-18 12:03:10,394 DEBUG ['block4_conv2', False]
2018-01-18 12:03:10,394 DEBUG ['block4_conv3', False]
2018-01-18 12:03:10,394 DEBUG ['block4_pool', False]
2018-01-18 12:03:10,394 DEBUG ['block5_conv1', False]
2018-01-18 12:03:10,394 DEBUG ['block5_conv2', False]
2018-01-18 12:03:10,394 DEBUG ['block5_conv3', False]
2018-01-18 12:03:10,394 DEBUG ['block5_pool', False]
2018-01-18 12:03:10,394 DEBUG ['flatten', False]
2018-01-18 12:03:10,394 DEBUG ['fc1', False]
2018-01-18 12:03:10,394 DEBUG ['fc2', False]
2018-01-18 12:03:10,395 DEBUG ['predictions', True]
2018-01-18 12:03:26,977 INFO Start
2018-01-18 12:03:41,578 DEBUG ['input_1', False]
2018-01-18 12:03:41,578 DEBUG ['block1_conv1', False]
2018-01-18 12:03:41,578 DEBUG ['block1_conv2', False]
2018-01-18 12:03:41,578 DEBUG ['block1_pool', False]
2018-01-18 12:03:41,579 DEBUG ['block2_conv1', False]
2018-01-18 12:03:41,579 DEBUG ['block2_conv2', False]
2018-01-18 12:03:41,579 DEBUG ['block2_pool', False]
2018-01-18 12:03:41,579 DEBUG ['block3_conv1', False]
2018-01-18 12:03:41,579 DEBUG ['block3_conv2', False]
2018-01-18 12:03:41,579 DEBUG ['block3_conv3', False]
2018-01-18 12:03:41,579 DEBUG ['block3_pool', False]
